Informazioni cronologiche,Utilizzi una macchina in maniera regolare?,Hai un telefono Android o Apple?,Ti connetti mai al bluetooth della tua macchina?,Quanto spesso ti connetti al bluetooth quando sei nella tua auto?,Ti ricordi indicativamente l'ultima volta?,Si connette in maniera automatica o ogni volta lo fai manualmente?,Quanto spesso ti capita di collegarti al bluetooth di una macchina altrui come ospite?,La tua macchina ha un sistema di Apple Car Play/Android Auto?, Quanto spesso ti capita di collegarti a Apple Car Play o Android auto sulla tua macchina?,Utilizza un sistema con il cavo o wireless?,Quanto spesso ti capita di collegarti a Apple Car Play/Android Auto di una macchina altrui come ospite?,Quanto spesso ti capita di mettere in carica il telefono in macchina?,Quando lo carichi in macchina dove lo colleghi?,Hai un WiFi in casa che usi spesso dal telefono?,Quanto spesso ti capita di collegarti a una rete wifi con il telefono quando sei a lavoro/Università?,Quanto spesso vai a lavoro/Università in macchina? (anche solo per fare il cambio con un mezzo pubblico),Quanto è lungo approssimativamente il tragitto in macchina (Km)? Indicare solo il numero,Più o meno quanto ci metteresti?,Quanti giorni a settimana vai indicativamente a lavoro/università? ,Qual è l'orario in cui parti da casa per andarci più spesso attualmente?,Qual è l'orario in cui riparti per tornare a casa più spesso attualmente?,Sei solito prendere la macchina per altre attività che svolgi regolarmente?,"Fai qualche esempio di attività che svolgi regolarmente andandoci con la tua auto indicando il giorno e l'ora. Non serve che specifichi il tipo di attività.
Per esempio: venerdì alle 18, sabato alle 12.
Oppure lunedì martedì venerdì alle 20.
Oppure 3 volte alle 21.
Più preciso sarai a formattare e più sarà facile lavorare con i dati ",Sesso,Età
10/05/2024 18.13.28,Si,Android,Si,Sempre,Ieri,Sempre automatica,Mai,Si,Spesso,Cavo,Mai,Qualche volta,Direttamente all'auto,Si,Spesso,No,3,0.15.00,5,10.00.00,18.00.00,Si,"Tutti i sabati mattina dalle 11 fino alle 13
Tutti i sabati mattina dalle 15 alle 17
Tutti i venerdì sera dalle 21 alle 22",M,21
10/05/2024 20.17.40,Si,Android,Si,Spesso,Questa settimana,Sempre manualmente,Mai,No,Mai,,,Raramente,Accendisigari,No,Mai,No,0.05,0.02.00,5,7.00.00,19.00.00,Si,Ogni sabato alle 13.30,,
11/05/2024 13.23.06,Si,Android,Si,Sempre,Oggi,Sempre automatica,Mai,Si,Sempre,Wireless,Mai,Spesso,Direttamente all'auto,Si,Qualche volta,Mai,10,0.20.00,4,9.00.00,17.00.00,Si,Tutte le sere alle 21.30,,
11/05/2024 13.28.43,Si,Apple,Si,Sempre,Oggi,Sempre automatica,Qualche volta,Si,Sempre,Cavo,Raramente,Sempre,Direttamente all'auto,No,Mai,Sempre,8,0.20.00,4,7.30.00,20.30.00,Si,"Tutti i venerdì alle 18.30 fino alle 00
Tutti i sabati dalle 10.30 fino alle 13.30

",,
11/05/2024 13.31.59,Si,Apple,No,,,,Mai,No,,,Mai,Sempre,Accendisigari,Si,Spesso,Mai,3.8,0.15.00,5,10.00.00,20.00.00,Si,"Ogni venerdì dalle 8.30 alle 10.30
Ogni sabato dalle 10 alle 13.30",,
12/05/2024 12.06.49,Si,Android,Si,Qualche volta,Questa settimana,Sempre automatica,Raramente,No,,,Mai,Sempre,"Accendisigari, Direttamente all'auto",Si,Spesso,Raramente,3,0.12.00,4,10.00.00,16.00.00,Si,Ogni giovedì alle 19.30,,
12/05/2024 12.07.08,No,Apple,,,,,,,,,,,,,,,,,,,,,,,
12/05/2024 19.07.19,Si,Android,Si,Sempre,Oggi,Sempre automatica,Qualche volta,Si,Qualche volta,Cavo,Raramente,Spesso,Direttamente all'auto,Si,Spesso,Raramente,20,0.30.00,1,8.00.00,5.00.00,Si,,,
12/05/2024 19.10.39,Si,Android,Si,Sempre,Oggi,Sempre automatica,Raramente,No,,,Qualche volta,Qualche volta,Direttamente all'auto,Si,Spesso,Spesso,10,0.15.00,3,12.30.00,17.00.00,Si,Lunedì Martedì Giovedì Venerdì 9.00 settimanalmente,,
12/05/2024 19.16.01,Si,Android,No,,,,Qualche volta,No,,,Raramente,Spesso,Direttamente all'auto,No,Sempre,Raramente,15,0.35.00,2,7.00.00,10.00.00,Si,"più o meno ogni 2/3 giorni a settimana per andare dalla mia ragazza, ci metto un 20 minuti facendo 10km,",,
12/05/2024 20.03.09,Si,Android,Si,Qualche volta,Oggi,Sempre automatica,Qualche volta,No,,,Mai,Raramente,Accendisigari,Si,Sempre,Mai,20,0.50.00,2,12.00.00,20.00.00,Si,vado a casa di amici più volte alla settimana dopo cena,,
12/05/2024 21.57.38,Si,Apple,Si,Sempre,Oggi,Dipende,Mai,No,,,Qualche volta,Qualche volta,Accendisigari,Si,Spesso,Sempre,17,1.00.00,4,13.00.00,16.15.00,Si,"Lunedì, mercoledì e venerdì vado in palestra indicativamente per le 17 e torno a casa per le 19.30",,
13/05/2024 10.31.58,Si,Android,Si,Sempre,Ieri,Sempre automatica,Mai,No,,,Raramente,Mai,Non lo collego,Si,Raramente,Mai,60,1.10.00,4,8.20.00,14.00.00,Si,"Tutti i lunedì martedì e venerdì alle 15
Tutti i lunedì martedì mercoledì e giovedì alle 20.20
Tutti i venerdì e il sabato alle 17
Tutte le domeniche alle 14",,
13/05/2024 10.46.50,Si,Apple,No,,,,Qualche volta,No,,,Mai,Mai,Non lo collego,Si,Spesso,Raramente,6,0.40.00,3,11.00.00,16.00.00,Si,Tutti i martedì e sabato sera ,,
13/05/2024 10.49.52,Si,Apple,Si,Sempre,Ieri,Sempre automatica,Raramente,No,,,Mai,Spesso,Direttamente all'auto,Si,Spesso,Sempre,8.3,0.30.00,5,10.30.00,18.00.00,Si,Ogni giovedì mattina alle 10.30,,
13/05/2024 10.52.52,Si,Apple,Si,Sempre,Oggi,Sempre automatica,Raramente,Si,Sempre,Wireless,Raramente,Raramente,Direttamente all'auto,Si,Sempre,Qualche volta,4,0.15.00,5,10.00.00,19.00.00,Si,Tutti i sabati mattina,,
13/05/2024 11.02.17,Si,Android,No,,,,Raramente,No,,,Raramente,Qualche volta,Accendisigari,Si,Spesso,Mai,0,0.00.00,5,8.20.00,14.30.00,Si,"Andare a casa dei parenti, andare a fare sport o uscire con gli amici ",,
13/05/2024 11.08.40,Si,Apple,No,,,,Sempre,No,,,Mai,Mai,Non lo collego,Si,Spesso,Sempre,20,0.30.00,4,11.00.00,18.00.00,Si,Lunedì e mercoledì 21.00,,
13/05/2024 11.12.33,No,Android,,,,,,,,,,,,,,,,,,,,,,,
13/05/2024 11.13.11,Si,Apple,Si,Sempre,Oggi,Sempre automatica,Spesso,Si,Sempre,Entrambi,Spesso,Sempre,Direttamente all'auto,Si,Mai,Sempre,7 km,0.10.00,3,7.00.00,13.00.00,Si,Palestra,,
13/05/2024 11.16.54,Si,Android,Si,Sempre,Ieri,Dipende,Raramente,No,,,Mai,Sempre,Accendisigari,Si,Qualche volta,Sempre,20,0.30.00,4,12.00.00,19.30.00,Si,Il venerdì sera alle 21 e il sabato mattina alle 11 vado in macchina a pallavolo ,,
13/05/2024 11.24.38,Si,Android,Si,Sempre,Questa settimana,Sempre manualmente,Raramente,No,,,Mai,Raramente,Direttamente all'auto,Si,Raramente,Sempre,16,0.40.00,3,8.20.00,18.00.00,Si,il venerdì o il sabato sera sempre dopo le 22,,
13/05/2024 11.34.27,No,Android,,,,,,,,,,,,,,,,,,,,,,,
13/05/2024 11.38.48,Si,Apple,Si,Sempre,Oggi,Sempre automatica,Mai,Si,Sempre,Wireless,Sempre,Sempre,Direttamente all'auto,Si,Mai,Sempre,30,30.00.00,3,7.00.00,13.30.00,Si,Ogni sabato alle 18:00 faccio 40 km vado in città e rientro la domenica alle 18:00 ,,
13/05/2024 13.56.34,Si,Apple,Si,Sempre,Ieri,Sempre automatica,Raramente,No,,,Mai,Qualche volta,A un dispositivo esterno (come powerbank),Si,Mai,Spesso,11 km,0.30.00,3,8.30.00,16.00.00,Si,Si,,
13/05/2024 15.37.06,Si,Apple,Si,Sempre,Ieri,Sempre automatica,Raramente,No,,,Raramente,Raramente,Accendisigari,Si,Spesso,Qualche volta,20,0.35.00,5,7.30.00,17.30.00,Si,"Sabato mattina alle 10
Domenica alle 14
Mercoledi alle 20",,
13/05/2024 18.31.39,Si,Apple,Si,Qualche volta,Ieri,Sempre automatica,Qualche volta,No,,,Qualche volta,Raramente,A un dispositivo esterno (come powerbank),Si,Sempre,Sempre,10 km,0.15.00,5,8.10.00,16.45.00,Si,3 giorni a settimana dalle 17 alle 18,,
14/05/2024 0.40.54,Si,Android,Si,Sempre,Questa settimana,Dipende,Raramente,No,,,Mai,Qualche volta,Accendisigari,Si,Mai,Sempre,Dipende,,3,,,Si,Non ho una routine prestabilita,,
14/05/2024 12.22.12,Si,Apple,Si,Sempre,Oggi,Sempre automatica,Raramente,Si,Sempre,Cavo,Mai,Spesso,Accendisigari,Si,Spesso,Sempre,4,0.10.00,4,10.30.00,16.00.00,Si,Martedì e venerdì alle 19,,
15/05/2024 10.52.08,Si,Apple,No,,,,Qualche volta,No,,,Mai,Spesso,Accendisigari,Si,Spesso,Mai,10,0.30.00,3,13.00.00,16.00.00,Si,1 volta a settimana alle 22,,
15/05/2024 10.55.45,Si,Apple,Si,Sempre,Oggi,Dipende,Raramente,No,,,Mai,Raramente,Direttamente all'auto,Si,Mai,Mai,60,1.30.00,1,8.00.00,12.00.00,Si,Martedì alle 18.30 giovedì alle 19 venerdì alle 16,,
15/05/2024 13.34.50,Si,Android,Si,Sempre,Oggi,Sempre automatica,Raramente,Si,Sempre,Wireless,Raramente,Qualche volta,Direttamente all'auto,Si,Sempre,Spesso,10,0.15.00,3,11.30.00,18.00.00,Si,Giovedì alle 18.45 sabato alle 21.30,,
15/05/2024 13.38.18,Si,Android,No,,,,Mai,No,,,Mai,Raramente,Accendisigari,Si,Sempre,Spesso,11,0.20.00,3,7.30.00,17.30.00,Si,3 volte a settimana alle 16 sabato alle 20,,
15/05/2024 14.17.09,Si,Apple,Si,Spesso,Ieri,Sempre automatica,Raramente,No,,,Mai,Qualche volta,Accendisigari,Si,Sempre,Spesso,30,1.30.00,5,8.00.00,16.00.00,Si,"sabato 9:00, ogni lunedi, martedi e giovedi 18:00",,
15/05/2024 14.22.45,Si,Android,No,,,,Spesso,Si,Qualche volta,Cavo,Mai,Raramente,Direttamente all'auto,Si,Sempre,Spesso,8,0.10.00,5,8.00.00,17.30.00,Si,Lunedì alle 18 4 volte a settimana 15 venerdì sabato e domenica alle 21,,
15/05/2024 14.27.40,No,Apple,,,,,,,,,,,,,,,,,,,,,,,
15/05/2024 14.30.23,Si,Apple,Si,Spesso,Questa settimana,Sempre manualmente,Spesso,Si,Qualche volta,Entrambi,Spesso,Spesso,Accendisigari,Si,Sempre,Mai,,,5,15.20.00,19.30.00,Si,"Venerdì alle 21:00, Sabato alle 11:00, Sabato alle 18:00, Domenica alle 13:00",,
15/05/2024 14.36.24,Si,Apple,Si,Spesso,Ieri,Sempre automatica,Mai,No,,,Mai,Raramente,Direttamente all'auto,Si,Mai,Sempre,8,0.12.00,2,8.35.00,18.15.00,Si,"martedì, giovedì, venerdì alle 18.30",,
15/05/2024 15.09.36,Si,Apple,No,,,,Raramente,No,,,Raramente,Mai,Non lo collego,Si,Sempre,Sempre,4 km,0.10.00,2,10.00.00,19.30.00,Si,"venerdì alle 19, sabato alle 20, martedì alle 11",,
15/05/2024 15.47.05,Si,Apple,Si,Sempre,Oggi,Sempre manualmente,Raramente,No,,,Raramente,Spesso,Accendisigari,Si,Raramente,Sempre,20,0.45.00,5,8.30.00,16.30.00,Si,Allenamento ogni giorno dalle 18:00 alle 19:00,,
15/05/2024 17.03.09,Si,Android,Si,Sempre,Oggi,Sempre automatica,Raramente,Si,Mai,Entrambi,Mai,Qualche volta,Direttamente all'auto,Si,Raramente,Spesso,5,0.12.00,5,13.45.00,18.30.00,Si,Lunedì mercoledì venerdì alle 20.30,,
16/05/2024 10.50.57,No,Apple,,,,,,,,,,,,,,,,,,,,,,,
16/05/2024 12.25.46,Si,Apple,Si,Sempre,Oggi,Sempre automatica,Mai,Si,Sempre,Wireless,Mai,Qualche volta,Direttamente all'auto,Si,Sempre,Sempre,2,0.07.00,5,10.30.00,17.00.00,Si,3 volte a settimana alle 19.30 1 volta a settimana alle 19,,
16/05/2024 13.55.39,Si,Android,Si,Sempre,Questa settimana,Sempre automatica,Mai,No,,,Mai,Mai,Non lo collego,Si,Sempre,Mai,3,0.13.00,5,10.20.00,16.00.00,Si,2 volte a settimana alle 18 circa 2 volte alle 10 circa 1 volta alle 11 circa,,
17/05/2024 12.28.17,No,Android,,,,,,,,,,,,,,,,,,,,,,M,20